SNNAME QF Ha eHa Hb eHb OIIIb eOIIIb NIIb eNIIb SII eSII
SN2008dh S 8.313e-16 2.859e-16 2.907e-16 9.918e-17 3.523e-16 1.264e-16 1.385e-16 4.754e-17 2.439e-16 6.158e-17
SN2008fp S 2.768e-15 7.55e-16 9.677e-16 2.424e-16 4.194e-15 8.279e-16 2.519e-15 6.596e-16 1.858e-15 3.571e-16
SN2008ia S 3.919e-17 1.312e-17 4.733e-17 8.401e-18 4.938e-17 1.302e-17 6.352e-17 1.661e-17 nan nan
SN2008J S 2.4e-14 7.657e-15 8.392e-15 2.767e-15 1.652e-15 4.817e-16 8.179e-15 2.51e-15 5.9e-15 1.286e-15
SN2009ig G nan nan nan nan nan nan nan nan nan nan
SN2009le S 5.847e-15 1.954e-15 2.044e-15 6.294e-16 4.29e-16 1.125e-16 2.247e-15 7.376e-16 1.581e-15 3.731e-16
SN2009nr X nan nan 9.345e-17 3.2e-17 nan nan nan nan nan nan
SN2010A S 4.55e-15 1.534e-15 1.591e-15 5.388e-16 4.759e-16 1.72e-16 1.491e-15 5.084e-16 1.447e-15 3.642e-16
SN2010ev S 1.237e-14 4.255e-15 4.325e-15 1.401e-15 6.375e-16 2.001e-16 3.881e-15 1.345e-15 2.777e-15 6.934e-16
SN2012cg S 4.479e-13 1.372e-13 1.566e-13 4.794e-14 5.039e-14 1.33e-14 1.603e-13 5.043e-14 1.55e-13 3.488e-14
SN2012cu S 4.428e-15 1.451e-15 1.548e-15 4.588e-16 1.594e-15 5.063e-16 2.041e-15 6.951e-16 2.789e-15 6.582e-16
SN2012fw S 5.771e-16 2.071e-16 2.018e-16 6.784e-17 1.259e-16 4.42e-17 1.545e-16 5.661e-17 nan nan
SN2012hd S 2.851e-15 6.09e-16 9.967e-16 2.224e-16 1.464e-15 3.279e-16 1.607e-15 3.339e-16 1.884e-15 2.904e-16
SN2012hr X nan nan nan nan nan nan nan nan nan nan
SN2012ht X nan nan nan nan nan nan nan nan nan nan
SN2013aa X nan nan nan nan nan nan nan nan nan nan
SN2011iy S 6.003e-15 1.371e-15 2.099e-15 5.024e-16 2.337e-15 5.06e-16 4.883e-15 1.152e-15 4.841e-15 8.545e-16
PTF12iiq S 8.447e-18 2.765e-18 nan nan nan nan nan nan nan nan
ASASSN-15hg S 1.19e-17 3.26e-18 1.488e-17 2.069e-18 6.639e-18 2.495e-18 7.482e-18 2.036e-18 nan nan
ASASSN-15ho S 1.427e-16 5.111e-17 4.99e-17 1.829e-17 5.036e-17 1.8e-17 2.973e-17 1.029e-17 5.16e-17 1.247e-17
CSS121114_090202+101 G 5.69e-17 2.016e-17 1.989e-17 7.476e-18 2.564e-17 5.573e-18 1.774e-17 3.022e-18 3.17e-17 8.504e-18
CSS130317_082848+293 X nan nan nan nan 4.531e-18 1.253e-18 nan nan nan nan
iPTF13dge X nan nan nan nan nan nan nan nan nan nan
LSQ12fmx G nan nan nan nan nan nan nan nan nan nan
LSQ12fuk S 5.096e-16 1.775e-16 1.782e-16 5.782e-17 1.15e-16 4.321e-17 4.806e-17 1.789e-17 nan nan
LSQ13crf S 1.416e-15 4.803e-16 4.949e-16 1.696e-16 1.152e-15 4.055e-16 1.345e-16 4.38e-17 3.848e-16 9.19e-17
LSQ13cwp G nan nan nan nan 2.384e-18 8.958e-19 nan nan nan nan
LSQ14act G 9.103e-18 2.52e-18 nan nan nan nan 9.098e-18 2.514e-18 nan nan
LSQ14aeg G 3.219e-18 7.648e-19 4.171e-18 1.101e-18 6.366e-18 1.637e-18 2.84e-18 5.729e-19 nan nan
LSQ14age G 8.544e-18 2.581e-18 nan nan nan nan 3.014e-18 1.021e-18 nan nan
LSQ14ahm S 1.2e-16 4.381e-17 4.788e-17 1.799e-17 1.31e-16 4.738e-17 3.803e-18 1.429e-18 2.129e-17 5.668e-18
LSQ14xi S 7.391e-16 2.401e-16 2.584e-16 9.333e-17 7.396e-17 2.468e-17 2.807e-16 8.437e-17 2.191e-16 4.826e-17
PS1-14ra G 1.074e-16 3.599e-17 4.027e-17 1.513e-17 nan nan 4.542e-17 1.707e-17 3.119e-17 8.754e-18
PS15aez S 1.542e-16 4.807e-17 5.393e-17 1.887e-17 1.658e-17 5.732e-18 6.391e-17 2.189e-17 5.573e-17 1.312e-17
PS15mt S 7.482e-17 2.411e-17 2.616e-17 8.546e-18 4.595e-17 1.557e-17 1.022e-17 3.626e-18 2.304e-17 5.216e-18
PSNJ07250042+2347030 S 1.321e-15 4.408e-16 4.619e-16 1.47e-16 2.335e-16 6.723e-17 6.064e-16 2.009e-16 3.796e-16 1.072e-16
PSNJ10292799+2200468 G 4.06e-17 1.517e-17 1.42e-17 4.576e-18 2.775e-17 8.564e-18 1.441e-17 5.416e-18 1.773e-17 4.813e-18
PTF11qmo G 1.566e-18 5.885e-19 nan nan nan nan nan nan nan nan
PTF11qpc G 5.889e-18 2.213e-18 2.674e-18 1.005e-18 nan nan nan nan 3.723e-18 9.898e-19
PTF11qri G 4.17e-17 1.49e-17 1.458e-17 5.479e-18 2.52e-17 9.468e-18 8.205e-18 3.083e-18 9.777e-18 2.723e-18
SN2013da S 2.861e-15 9.431e-16 1e-15 3.311e-16 4.871e-16 1.552e-16 1.193e-15 4e-16 nan nan
SN2014dm S 1.438e-16 4.61e-17 5.027e-17 1.325e-17 3.712e-17 8.319e-18 7.389e-17 2.343e-17 6.563e-17 1.283e-17
SN2015H S 6.908e-15 2.315e-15 2.415e-15 7.463e-16 3.555e-16 1.081e-16 2.406e-15 8.157e-16 2.021e-15 4.846e-16
NGC1060 S 2.498e-16 2.346e-17 4.346e-16 4.083e-17 1.581e-16 1.485e-17 1.601e-16 2.848e-17 nan nan
SN2005P S 4.753e-15 1.629e-15 1.662e-15 5.967e-16 1.77e-15 6.382e-16 8.783e-16 3.09e-16 1.596e-15 4.029e-16
SN2007hj S 2.625e-17 9.863e-18 nan nan 6.638e-17 2.494e-17 nan nan nan nan
ASASSN13dd S nan nan nan nan 2.056e-16 1.932e-17 nan nan nan nan
SN2008hv G nan nan nan nan nan nan nan nan nan nan
LSQ12hzj S nan nan 1.483e-17 5.574e-18 nan nan nan nan nan nan
SN2002ha S 3.659e-16 1.304e-16 1.279e-16 3.985e-17 6.157e-17 2.314e-17 1.819e-16 6.093e-17 2.111e-16 4.852e-17
SN2006cm S 1.049e-14 3.349e-15 3.666e-15 1.205e-15 1.399e-15 4.04e-16 4.846e-15 1.536e-15 3.902e-15 9.066e-16
SN2006E X 1.543e-15 2.136e-16 nan nan nan nan 4.977e-16 1.576e-16 nan nan
SN2009ds S 2.29e-15 7.787e-16 8.007e-16 2.756e-16 1.586e-16 4.815e-17 8.832e-16 2.985e-16 nan nan
SN2009mz S 1.256e-14 4.435e-15 4.391e-15 1.468e-15 3.153e-15 1.081e-15 3.567e-15 1.281e-15 4.494e-15 1.157e-15
SN2012et S 5.316e-16 1.771e-16 1.859e-16 6.647e-17 8.684e-17 3.126e-17 2.038e-16 6.584e-17 nan nan
SN2013aj S 1.767e-16 6.639e-17 8.182e-17 1.985e-17 2.331e-16 4.841e-17 4.318e-16 1.377e-16 2.278e-16 6.141e-17
SN20080612 G 1.029e-16 3.228e-17 3.598e-17 1.162e-17 nan nan 4.313e-17 1.323e-17 5.469e-17 1.07e-17
SN2002jg S 3.779e-15 1.184e-15 1.321e-15 4.175e-16 7.896e-16 2.372e-16 1.352e-15 4.21e-16 1.581e-15 3.452e-16
NGC7469 S 4.683e-16 1.268e-16 1.637e-16 4.739e-17 2.538e-16 4.684e-17 3.585e-16 9.07e-17 3.389e-16 6.98e-17
NGC7742 S 1.904e-13 6.214e-14 6.659e-14 2.163e-14 2.285e-14 6.867e-15 8.71e-14 2.886e-14 5.692e-14 1.333e-14
SN1998dq S 2.483e-17 8.276e-18 1.452e-17 4.617e-18 3.004e-18 9.504e-19 1.005e-17 3.372e-18 8.343e-18 1.981e-18
SN2000do S 1.098e-14 3.529e-15 3.841e-15 1.16e-15 8.213e-16 2.409e-16 4.099e-15 1.286e-15 2.862e-15 6.417e-16
LSQ12hnx G 1.043e-18 2.03e-19 nan nan 8.226e-19 2.6e-19 nan nan nan nan
LSQ13dhj S 3.944e-17 1.46e-17 1.379e-17 4.874e-18 3.82e-18 1.436e-18 1.165e-17 4.379e-18 1.218e-17 3.267e-18
LSQ14ie G 4.55e-18 1.609e-18 1.676e-18 6.298e-19 4.321e-18 5.43e-19 nan nan 4.817e-18 1.379e-18
SN2006fw S nan nan nan nan nan nan nan nan nan nan
ASASSN14me S 2.452e-15 8.063e-16 8.573e-16 2.655e-16 1.371e-15 4.498e-16 2.491e-16 8.322e-17 8.92e-16 2.156e-16
SN2011ha X nan nan nan nan nan nan nan nan nan nan
ASASSN13ch S 4.071e-16 1.349e-16 1.423e-16 5.348e-17 1.562e-16 4.388e-17 4.997e-17 1.687e-17 2.005e-16 5.26e-17
SN2004do S 2.817e-14 9.598e-15 9.85e-15 3.132e-15 1.121e-14 3.747e-15 8.527e-15 2.858e-15 1.162e-14 2.824e-15
SN2009iw S 7.176e-16 2.335e-16 2.509e-16 7.156e-17 2.644e-16 6.138e-17 3.539e-16 1.083e-16 2.989e-16 6.745e-17
SN2013az X nan nan nan nan nan nan nan nan nan nan
ASASSN14lw X nan nan 1.122e-17 2.987e-18 nan nan nan nan nan nan
PS15mb X nan nan nan nan nan nan nan nan nan nan
SN2009J S 1.411e-15 4.793e-16 4.935e-16 1.518e-16 6.395e-16 2.031e-16 3.936e-16 1.377e-16 5.657e-16 1.378e-16
SN2008bc G 3.936e-17 1.479e-17 nan nan 2.254e-17 8.469e-18 2.262e-17 6.398e-18 3.559e-17 9.652e-18
ASASSN14hu G nan nan 1.112e-16 1.047e-17 nan nan nan nan nan nan
SN2005hk S 3.001e-16 9.851e-17 1.051e-16 3.143e-17 8.109e-17 2.612e-17 4.109e-17 1.084e-17 1.531e-16 3.664e-17
CSP14abn X nan nan nan nan nan nan nan nan nan nan
SN2002cx S 4.037e-16 1.391e-16 1.411e-16 5.008e-17 1.441e-16 4.654e-17 7.621e-17 2.788e-17 nan nan
SN1991bj S 2.611e-15 9.122e-16 9.13e-16 3.034e-16 9.511e-16 3.217e-16 4.679e-16 1.68e-16 1.043e-15 2.532e-16
SN2008ae S 1.09e-15 3.899e-16 3.811e-16 1.401e-16 2.323e-16 7.884e-17 3.776e-16 1.356e-16 3.861e-16 9.919e-17
